outcome,week_end,age_group,unvaccinated_rate,vaccinated_rate,boosted_rate,crude_vaccinated_ratio,crude_boosted_ratio,population_unvaccinated,population_vaccinated,population_boosted,outcome_unvaccinated,outcome_vaccinated,outcome_boosted,age_group_min,age_group_max
Deaths,2021-08-14,50-64,9.6,0.0,0.0,0.0,0.0,94229,318064.0,0.0,9,0.0,0.0,50,64
Deaths,2022-08-13,65-79,0.0,4.5,0.0,0.0,0.0,45801,44391.0,169993.0,0,2.0,0.0,65,79
Cases,2021-04-10,80+,101.4,29.7,0.0,3.4,0.0,40425,30292.0,0.0,41,9.0,0.0,80,200
Cases,2021-12-11,80+,147.7,172.6,57.1,0.9,2.6,28442,27803.0,28010.0,42,48.0,16.0,80,200
Hospitalizations,2022-02-05,80+,54.8,156.1,29.5,0.4,1.9,27390,16013.0,40692.0,15,25.0,12.0,80,200
Hospitalizations,2021-04-24,80+,68.4,7.7,0.0,8.9,0.0,38015,38918.0,0.0,26,3.0,0.0,80,200
Hospitalizations,2021-12-25,All,72.5,28.4,11.8,2.6,6.1,814632,1161444.0,517372.0,591,330.0,61.0,999,999
Deaths,2023-07-15,65-79,0.0,0.0,0.0,0.0,0.0,39336,43424.0,171745.0,0,0.0,0.0,65,79
Cases,2021-10-23,80+,73.1,29.2,15.0,2.5,4.9,30106,47937.0,6673.0,22,14.0,1.0,80,200
Deaths,2022-03-12,50-64,0.0,1.4,0.4,0.0,0.0,46039,142268.0,222350.0,0,2.0,1.0,50,64
Hospitalizations,2022-07-09,30-49,10.2,5.3,2.9,1.9,3.5,127602,280376.0,340282.0,13,15.0,10.0,30,49
Deaths,2021-05-22,30-49,1.2,0.0,0.0,0.0,0.0,324620,366867.0,0.0,4,0.0,0.0,30,49
Hospitalizations,2022-07-23,50-64,33.9,12.5,12.8,2.7,2.6,41269,128418.0,242018.0,14,16.0,31.0,50,64
Hospitalizations,2022-09-17,18-29,6.7,0.0,0.6,0.0,11.2,89805,211472.0,161406.0,6,0.0,1.0,18,29
Hospitalizations,2022-03-19,18-29,7.0,1.4,0.7,5.0,10.0,99842,220707.0,143769.0,7,3.0,1.0,18,29
Deaths,2023-04-29,50-64,3.0,0.0,0.0,0.0,0.0,33180,125733.0,246904.0,1,0.0,0.0,50,64
Cases,2022-01-08,80+,1269.1,1641.7,688.4,0.8,1.8,27814,19309.0,37045.0,353,317.0,255.0,80,200
Cases,2021-08-14,65-79,119.7,56.3,0.0,2.1,0.0,67653,193586.0,0.0,81,109.0,0.0,65,79
Cases,2021-07-24,30-49,98.8,38.8,0.0,2.5,0.0,272185,492321.0,0.0,269,191.0,0.0,30,49
Hospitalizations,2023-05-27,65-79,5.1,11.5,8.2,0.4,0.6,39507,43436.0,171730.0,2,5.0,14.0,65,79
Cases,2023-07-22,All,24.7,9.3,16.6,2.7,1.5,530682,860314.0,1040764.0,131,80.0,173.0,999,999
Deaths,2021-12-18,80+,38.9,24.1,3.2,1.6,12.2,28242,24945.0,31019.0,11,6.0,1.0,80,200
Hospitalizations,2022-04-09,30-49,4.5,1.0,2.4,4.5,1.9,132219,289629.0,326607.0,6,3.0,8.0,30,49
Cases,2023-11-18,All,72.6,28.7,55.4,2.5,1.3,507068,862707.0,1047121.0,368,248.0,580.0,999,999
Cases,2022-12-31,30-49,173.3,82.2,114.9,2.1,1.5,113126,277262.0,347197.0,196,228.0,399.0,30,49
Cases,2022-11-12,All,152.9,85.7,111.2,1.8,1.4,570386,848167.0,1039564.0,872,727.0,1156.0,999,999
Deaths,2023-07-08,30-49,0.0,0.0,0.0,0.0,0.0,107855,278403.0,347309.0,0,0.0,0.0,30,49
Cases,2023-04-29,30-49,65.9,20.5,29.9,3.2,2.2,109218,278370.0,347292.0,72,57.0,104.0,30,49
Cases,2022-12-17,All,232.8,139.1,187.3,1.7,1.2,558425,852606.0,1039974.0,1300,1186.0,1948.0,999,999
Cases,2023-11-18,65-79,85.6,81.5,96.2,1.1,0.9,37394,44197.0,172519.0,32,36.0,166.0,65,79
Cases,2022-05-21,All,304.7,223.1,353.4,1.4,0.9,644984,883996.0,965236.0,1965,1972.0,3411.0,999,999
Hospitalizations,2022-11-05,All,15.3,5.2,7.7,2.9,2.0,573510,847144.0,1039435.0,88,44.0,80.0,999,999
Deaths,2023-05-20,All,0.4,0.0,0.1,0.0,4.0,535909,860356.0,1040655.0,2,0.0,1.0,999,999
Hospitalizations,2022-03-19,All,5.1,2.4,2.0,2.1,2.6,662148,905646.0,919703.0,34,22.0,18.0,999,999
Hospitalizations,2022-10-15,65-79,27.6,39.2,22.2,0.7,1.2,43523,43397.0,171429.0,12,17.0,38.0,65,79
Deaths,2023-01-14,50-64,2.9,0.0,0.0,0.0,0.0,34510,125451.0,246827.0,1,0.0,0.0,50,64
Cases,2021-11-27,80+,149.0,108.0,18.1,1.4,8.2,28858,33319.0,22158.0,43,36.0,4.0,80,200
Cases,2023-05-27,All,23.9,10.8,18.8,2.2,1.3,535220,860357.0,1040665.0,128,93.0,196.0,999,999
Deaths,2023-01-21,50-64,0.0,0.0,0.0,0.0,0.0,34398,125483.0,246834.0,0,0.0,0.0,50,64
Hospitalizations,2023-02-04,30-49,8.1,2.5,2.0,3.2,4.0,111518,277594.0,347241.0,9,7.0,7.0,30,49
Cases,2022-12-17,80+,209.0,474.8,337.5,0.4,0.6,24877,11373.0,47108.0,52,54.0,159.0,80,200
Cases,2022-05-07,80+,82.1,174.0,182.6,0.5,0.4,26811,13219.0,44353.0,22,23.0,81.0,80,200
Deaths,2023-10-21,30-49,0.0,0.0,0.0,0.0,0.0,103249,278946.0,347858.0,0,0.0,0.0,30,49
Hospitalizations,2023-01-07,50-64,46.2,8.0,11.3,5.8,4.1,34669,125434.0,246821.0,16,10.0,28.0,50,64
Deaths,2021-04-10,All,1.9,0.3,0.0,6.3,0.0,1707958,396727.0,0.0,32,1.0,0.0,999,999
Deaths,2023-10-21,65-79,0.0,0.0,0.6,0.0,0.0,38192,43745.0,172021.0,0,0.0,1.0,65,79
Hospitalizations,2023-08-19,80+,20.4,17.6,29.7,1.2,0.7,24470,11380.0,47133.0,5,2.0,14.0,80,200
Cases,2022-10-01,50-64,217.9,69.5,96.9,3.1,2.2,39014,125154.0,246575.0,85,87.0,239.0,50,64
Cases,2022-10-22,All,125.3,68.5,99.7,1.8,1.3,580379,845220.0,1038858.0,727,579.0,1036.0,999,999
Hospitalizations,2021-09-18,18-29,5.5,1.0,0.0,5.5,0.0,181678,301822.0,0.0,10,3.0,0.0,18,29
Cases,2023-03-25,50-64,134.1,50.1,62.8,2.7,2.1,33548,125665.0,246890.0,45,63.0,155.0,50,64
Hospitalizations,2023-06-24,65-79,5.1,0.0,6.4,0.0,0.8,39394,43428.0,171739.0,2,0.0,11.0,65,79
Hospitalizations,2021-11-13,18-29,5.6,1.0,0.0,5.6,0.0,160183,311808.0,14313.0,9,3.0,0.0,18,29
Deaths,2021-05-22,18-29,0.4,0.0,0.0,0.0,0.0,254347,182708.0,0.0,1,0.0,0.0,18,29
Deaths,2021-11-27,30-49,2.1,0.4,0.0,5.2,0.0,189760,487368.0,82444.0,4,2.0,0.0,30,49
Cases,2022-07-23,80+,155.6,385.1,246.5,0.4,0.6,26357,11946.0,46252.0,41,46.0,114.0,80,200
Cases,2021-08-28,18-29,301.8,89.1,0.0,3.4,0.0,193516,291685.0,0.0,584,260.0,0.0,18,29
Deaths,2022-06-18,80+,0.0,0.0,4.4,0.0,0.0,26513,12369.0,45641.0,0,0.0,2.0,80,200
Hospitalizations,2021-12-18,All,51.6,14.3,6.3,3.6,8.2,829865,1210623.0,447192.0,428,173.0,28.0,999,999
Hospitalizations,2021-06-19,50-64,10.5,0.0,0.0,0.0,0.0,114456,287354.0,0.0,12,0.0,0.0,50,64
Hospitalizations,2022-07-30,18-29,11.9,3.8,3.2,3.1,3.7,92439,213184.0,158188.0,11,8.0,5.0,18,29
Cases,2023-09-09,80+,69.5,70.3,123.1,1.0,0.6,24452,11380.0,47133.0,17,8.0,58.0,80,200
Hospitalizations,2021-05-22,80+,34.1,4.2,0.0,8.1,0.0,35155,47103.0,0.0,12,2.0,0.0,80,200
Cases,2022-07-09,50-64,433.7,144.7,264.5,3.0,1.6,41738,129197.0,240866.0,181,187.0,637.0,50,64
Hospitalizations,2023-06-24,50-64,3.1,0.0,0.8,0.0,3.9,32713,125736.0,246925.0,1,0.0,2.0,50,64
Hospitalizations,2021-12-04,80+,139.7,67.2,15.4,2.1,9.1,28623,29758.0,25961.0,40,20.0,4.0,80,200
Cases,2022-10-01,30-49,127.9,50.4,90.2,2.5,1.4,122014,276030.0,346933.0,156,139.0,313.0,30,49
Deaths,2021-04-03,50-64,3.8,0.0,0.0,0.0,0.0,234356,66383.0,0.0,9,0.0,0.0,50,64
Cases,2021-11-06,30-49,240.6,95.5,25.1,2.5,9.6,199928,527699.0,31898.0,481,504.0,8.0,30,49
Hospitalizations,2022-07-30,80+,72.2,84.3,77.6,0.9,0.9,26322,11862.0,46378.0,19,10.0,36.0,80,200
Cases,2023-11-11,80+,87.4,155.1,135.3,0.6,0.6,24027,11603.0,47294.0,21,18.0,64.0,80,200
Deaths,2023-06-10,50-64,3.0,0.0,0.0,0.0,0.0,32808,125744.0,246916.0,1,0.0,0.0,50,64
Hospitalizations,2021-05-15,80+,53.2,4.4,0.0,12.1,0.0,35729,45820.0,0.0,19,2.0,0.0,80,200
Deaths,2023-03-11,18-29,0.0,0.0,0.0,0.0,0.0,76587,213618.0,161667.0,0,0.0,0.0,18,29
Cases,2023-03-11,80+,77.0,131.8,129.4,0.6,0.6,24673,11378.0,47126.0,19,15.0,61.0,80,200
Deaths,2021-05-01,18-29,0.0,0.0,0.0,0.0,0.0,284798,107854.0,0.0,0,0.0,0.0,18,29
Hospitalizations,2021-09-25,65-79,39.5,9.3,0.0,4.2,0.0,63251,193577.0,0.0,25,18.0,0.0,65,79
Hospitalizations,2022-01-29,65-79,97.9,68.7,21.3,1.4,4.6,50056,62587.0,145762.0,49,43.0,31.0,65,79
Hospitalizations,2021-06-12,65-79,17.2,2.7,0.0,6.4,0.0,75414,181840.0,0.0,13,5.0,0.0,65,79
Deaths,2022-04-09,50-64,0.0,0.7,0.4,0.0,0.0,44900,137887.0,228401.0,0,1.0,1.0,50,64
Deaths,2021-11-27,18-29,0.6,0.0,0.0,0.0,0.0,154874,305350.0,24726.0,1,0.0,0.0,18,29
Deaths,2021-08-07,80+,6.2,3.8,0.0,1.6,0.0,32284,52589.0,0.0,2,2.0,0.0,80,200
Cases,2022-07-30,65-79,241.5,191.0,238.3,1.3,1.0,45965,45025.0,169088.0,111,86.0,403.0,65,79
Cases,2022-05-07,All,264.5,199.6,339.7,1.3,0.8,648754,888946.0,956808.0,1716,1774.0,3250.0,999,999
Hospitalizations,2022-07-09,80+,53.0,140.6,63.0,0.4,0.8,26425,12088.0,46042.0,14,17.0,29.0,80,200
Deaths,2021-06-26,All,0.4,0.2,0.0,2.0,0.0,1221600,1290050.0,0.0,5,2.0,0.0,999,999
Cases,2023-04-01,65-79,77.7,71.4,74.5,1.1,1.0,39878,43429.0,171712.0,31,31.0,128.0,65,79
Cases,2023-06-10,18-29,13.4,4.7,3.1,2.9,4.3,74610,214134.0,161697.0,10,10.0,5.0,18,29
Hospitalizations,2021-05-22,50-64,55.7,0.4,0.0,139.2,0.0,131081,237808.0,0.0,73,1.0,0.0,50,64
Hospitalizations,2023-01-07,80+,96.8,149.5,91.3,0.6,1.1,24805,11369.0,47117.0,24,17.0,43.0,80,200
Deaths,2023-10-07,50-64,0.0,0.0,0.4,0.0,0.0,31672,125732.0,247019.0,0,0.0,1.0,50,64
Deaths,2022-09-24,65-79,0.0,0.0,0.6,0.0,0.0,44762,43407.0,171353.0,0,0.0,1.0,65,79
Cases,2023-01-07,80+,137.1,246.3,208.0,0.6,0.7,24805,11369.0,47117.0,34,28.0,98.0,80,200
Deaths,2022-08-06,18-29,0.0,0.0,0.0,0.0,0.0,92082,212811.0,158786.0,0,0.0,0.0,18,29
Cases,2023-05-20,18-29,46.7,8.9,10.5,5.2,4.4,75004,214136.0,161691.0,35,19.0,17.0,18,29
Cases,2022-01-29,65-79,315.6,234.9,150.9,1.3,2.1,50056,62587.0,145762.0,158,147.0,220.0,65,79
Deaths,2021-08-28,18-29,0.0,0.0,0.0,0.0,0.0,193516,291685.0,0.0,0,0.0,0.0,18,29
Cases,2021-04-24,All,202.7,22.4,0.0,9.0,0.0,1530109,593621.0,0.0,3101,133.0,0.0,999,999
Deaths,2021-04-24,30-49,1.0,0.0,0.0,0.0,0.0,386715,193096.0,0.0,4,0.0,0.0,30,49
Hospitalizations,2021-10-23,65-79,26.6,7.4,0.0,3.6,0.0,60107,175204.0,25507.0,16,13.0,0.0,65,79
Hospitalizations,2021-07-10,80+,15.1,3.9,0.0,3.9,0.0,33207,51643.0,0.0,5,2.0,0.0,80,200
Hospitalizations,2023-06-10,30-49,2.8,0.4,0.9,7.0,3.1,108308,278398.0,347307.0,3,1.0,3.0,30,49
Deaths,2021-06-05,30-49,1.3,0.0,0.0,0.0,0.0,307403,422678.0,0.0,4,0.0,0.0,30,49
Hospitalizations,2023-06-03,All,1.9,0.9,2.1,2.1,0.9,534701,860357.0,1040674.0,10,8.0,22.0,999,999
Hospitalizations,2022-06-11,18-29,5.3,2.3,1.9,2.3,2.8,94634,215581.0,154206.0,5,5.0,3.0,18,29
Hospitalizations,2022-03-05,30-49,3.0,3.0,0.6,1.0,5.0,135567,295387.0,314346.0,4,9.0,2.0,30,49
Hospitalizations,2023-08-05,50-64,12.3,1.6,1.6,7.7,7.7,32496,125728.0,246934.0,4,2.0,4.0,50,64
Cases,2021-04-10,50-64,262.0,24.9,0.0,10.5,0.0,207234,80426.0,0.0,543,20.0,0.0,50,64
Deaths,2023-07-01,50-64,0.0,0.0,0.4,0.0,0.0,32676,125733.0,246928.0,0,0.0,1.0,50,64
Deaths,2023-02-25,50-64,3.0,0.0,0.0,0.0,0.0,33861,125587.0,246869.0,1,0.0,0.0,50,64
Cases,2021-04-17,80+,117.7,37.5,0.0,3.1,0.0,39089,34683.0,0.0,46,13.0,0.0,80,200
Cases,2021-05-01,80+,116.2,16.6,0.0,7.0,0.0,37001,42149.0,0.0,43,7.0,0.0,80,200
Cases,2021-06-12,All,27.1,5.5,0.0,4.9,0.0,1257017,1201445.0,0.0,341,66.0,0.0,999,999
Hospitalizations,2022-09-24,80+,46.2,44.0,44.6,1.0,1.0,25995,11376.0,47037.0,12,5.0,21.0,80,200
Hospitalizations,2021-08-14,80+,34.3,17.1,0.0,2.0,0.0,32042,52760.0,0.0,11,9.0,0.0,80,200
Hospitalizations,2021-10-02,80+,39.1,13.3,0.0,2.9,0.0,30671,52751.0,0.0,12,7.0,0.0,80,200
Deaths,2021-06-05,65-79,17.0,1.1,0.0,15.5,0.0,76606,179075.0,0.0,13,2.0,0.0,65,79
Hospitalizations,2021-06-26,80+,8.9,0.0,0.0,0.0,0.0,33591,50911.0,0.0,3,0.0,0.0,80,200
Cases,2021-08-07,80+,43.4,28.5,0.0,1.5,0.0,32284,52589.0,0.0,14,15.0,0.0,80,200
Deaths,2022-01-29,30-49,1.4,0.3,0.0,4.7,0.0,145400,318707.0,273200.0,2,1.0,0.0,30,49
Deaths,2022-06-25,All,0.2,0.3,0.3,0.7,0.7,635698,868337.0,988583.0,1,3.0,3.0,999,999
Hospitalizations,2021-11-27,All,23.5,5.2,2.6,4.5,9.0,879918,1338551.0,274264.0,207,70.0,7.0,999,999
Deaths,2022-02-26,18-29,0.0,0.0,0.0,0.0,0.0,102168,220893.0,137242.0,0,0.0,0.0,18,29
Cases,2023-11-18,30-49,91.9,25.8,39.3,3.6,2.3,100114,279360.0,348926.0,92,72.0,137.0,30,49
Cases,2022-09-24,All,120.2,59.9,99.0,2.0,1.2,595648,841554.0,1036367.0,716,504.0,1026.0,999,999
Deaths,2023-11-18,18-29,0.0,0.0,0.0,0.0,0.0,68264,215430.0,162672.0,0,0.0,0.0,18,29
Deaths,2023-09-16,50-64,0.0,0.0,0.0,0.0,0.0,32248,125721.0,246942.0,0,0.0,0.0,50,64
Hospitalizations,2022-02-26,18-29,6.9,1.4,0.7,4.9,9.9,102168,220893.0,137242.0,7,3.0,1.0,18,29
Hospitalizations,2023-02-04,18-29,9.0,1.4,1.2,6.4,7.5,77612,213252.0,161643.0,7,3.0,2.0,18,29
Deaths,2023-02-11,18-29,0.0,0.0,0.0,0.0,0.0,77378,213351.0,161644.0,0,0.0,0.0,18,29
Hospitalizations,2021-12-25,50-64,233.0,42.5,12.4,5.5,18.8,58797,223663.0,129378.0,137,95.0,16.0,50,64
Hospitalizations,2023-05-06,18-29,2.7,0.5,0.0,5.4,0.0,75322,214130.0,161688.0,2,1.0,0.0,18,29
Deaths,2023-11-18,30-49,0.0,0.0,0.0,0.0,0.0,100114,279360.0,348926.0,0,0.0,0.0,30,49
Cases,2023-07-08,30-49,17.6,5.4,7.8,3.3,2.3,107855,278403.0,347309.0,19,15.0,27.0,30,49
Deaths,2022-01-15,All,14.8,5.2,3.4,2.8,4.4,745375,1023963.0,685691.0,110,53.0,23.0,999,999
Deaths,2022-11-19,30-49,0.0,0.0,0.0,0.0,0.0,115941,276754.0,347089.0,0,0.0,0.0,30,49
Deaths,2021-11-20,50-64,10.4,0.7,0.0,14.9,0.0,67514,297169.0,49704.0,7,2.0,0.0,50,64
Hospitalizations,2021-06-19,All,2.7,0.3,0.0,9.0,0.0,1238489,1241729.0,0.0,34,4.0,0.0,999,999
Hospitalizations,2022-11-05,50-64,46.1,5.6,6.5,8.2,7.1,36895,125268.0,246677.0,17,7.0,16.0,50,64
Deaths,2022-12-10,65-79,0.0,0.0,1.2,0.0,0.0,41147,43350.0,171635.0,0,0.0,2.0,65,79
Hospitalizations,2022-08-27,50-64,47.1,10.3,8.6,4.6,5.5,40343,125946.0,245378.0,19,13.0,21.0,50,64
Cases,2023-04-01,80+,65.0,87.9,110.3,0.7,0.6,24634,11382.0,47126.0,16,10.0,52.0,80,200
Deaths,2022-07-02,50-64,2.4,0.0,0.0,0.0,0.0,41916,129677.0,240221.0,1,0.0,0.0,50,64
Deaths,2022-02-19,50-64,0.0,0.7,0.0,0.0,0.0,47217,148975.0,212791.0,0,1.0,0.0,50,64
Cases,2022-04-30,All,205.3,145.1,238.8,1.4,0.9,650306,891088.0,952817.0,1335,1293.0,2275.0,999,999
Cases,2021-08-07,50-64,166.4,55.7,0.0,3.0,0.0,96770,316026.0,0.0,161,176.0,0.0,50,64
Hospitalizations,2021-07-17,65-79,18.3,1.6,0.0,11.4,0.0,71101,190176.0,0.0,13,3.0,0.0,65,79
Hospitalizations,2022-10-15,All,9.2,6.3,7.1,1.5,1.3,584290,844343.0,1038311.0,54,53.0,74.0,999,999
Cases,2023-02-25,All,119.8,69.0,96.2,1.7,1.2,545222,857371.0,1040416.0,653,592.0,1001.0,999,999
Hospitalizations,2022-10-01,All,6.9,3.6,7.6,1.9,0.9,591822,842535.0,1037067.0,41,30.0,79.0,999,999
Cases,2022-04-02,18-29,117.5,46.8,159.2,2.5,0.7,98738,219958.0,146325.0,116,103.0,233.0,18,29
Cases,2021-05-29,50-64,105.1,7.8,0.0,13.5,0.0,125545,255939.0,0.0,132,20.0,0.0,50,64
Hospitalizations,2021-08-21,65-79,39.0,8.8,0.0,4.4,0.0,66724,194251.0,0.0,26,17.0,0.0,65,79
Hospitalizations,2022-01-08,65-79,377.9,233.6,47.9,1.6,7.9,51599,73634.0,133598.0,195,172.0,64.0,65,79
Hospitalizations,2022-08-06,All,15.3,6.9,10.2,2.2,1.5,614334,850591.0,1014163.0,94,59.0,103.0,999,999
Hospitalizations,2022-03-26,50-64,6.6,4.3,0.9,1.5,7.3,45447,140025.0,225645.0,3,6.0,2.0,50,64
Hospitalizations,2023-02-11,All,8.4,4.2,7.1,2.0,1.2,547298,856543.0,1040368.0,46,36.0,74.0,999,999
Cases,2023-05-13,30-49,54.2,16.5,24.5,3.3,2.2,108868,278401.0,347295.0,59,46.0,85.0,30,49
Cases,2023-07-08,All,12.4,6.0,9.8,2.1,1.3,531904,860327.0,1040745.0,66,52.0,102.0,999,999
Cases,2023-06-10,65-79,12.7,16.1,21.0,0.8,0.6,39441,43434.0,171732.0,5,7.0,36.0,65,79
Hospitalizations,2021-12-18,65-79,175.8,52.7,11.7,3.3,15.0,53484,94857.0,110903.0,94,50.0,13.0,65,79
Deaths,2021-11-13,50-64,8.7,0.6,0.0,14.5,0.0,69301,308448.0,36865.0,6,2.0,0.0,50,64
Deaths,2023-08-19,80+,0.0,8.8,2.1,0.0,0.0,24470,11380.0,47133.0,0,1.0,1.0,80,200
Deaths,2021-12-25,18-29,0.0,0.0,0.0,0.0,0.0,139528,277971.0,58804.0,0,0.0,0.0,18,29
Hospitalizations,2022-02-19,All,6.1,5.3,3.3,1.2,1.8,677481,910869.0,868745.0,41,48.0,29.0,999,999
Deaths,2023-08-26,All,0.4,0.0,0.1,0.0,4.0,527758,860290.0,1040810.0,2,0.0,1.0,999,999
Deaths,2023-08-05,30-49,0.0,0.0,0.0,0.0,0.0,107409,278402.0,347313.0,0,0.0,0.0,30,49
Deaths,2021-07-10,18-29,0.0,0.0,0.0,0.0,0.0,221917,267760.0,0.0,0,0.0,0.0,18,29
Cases,2021-05-01,65-79,148.6,15.7,0.0,9.5,0.0,86807,152729.0,0.0,129,24.0,0.0,65,79
Hospitalizations,2022-10-08,30-49,7.4,1.1,1.7,6.7,4.4,121106,276136.0,346953.0,9,3.0,6.0,30,49
Cases,2023-03-25,30-49,94.5,45.3,53.3,2.1,1.8,110064,278072.0,347275.0,104,126.0,185.0,30,49
Hospitalizations,2022-07-09,18-29,6.4,4.7,1.9,1.4,3.4,93482,214304.0,156355.0,6,10.0,3.0,18,29
Hospitalizations,2023-07-08,80+,4.1,8.8,6.4,0.5,0.6,24498,11383.0,47130.0,1,1.0,3.0,80,200
Deaths,2023-10-28,All,0.2,0.3,0.2,0.7,1.0,514722,862266.0,1043533.0,1,3.0,2.0,999,999
Deaths,2022-07-23,50-64,2.4,0.0,0.0,0.0,0.0,41269,128418.0,242018.0,1,0.0,0.0,50,64
Deaths,2023-05-13,50-64,0.0,0.0,0.0,0.0,0.0,33018,125743.0,246910.0,0,0.0,0.0,50,64
Deaths,2021-05-22,50-64,6.1,0.0,0.0,0.0,0.0,131081,237808.0,0.0,8,0.0,0.0,50,64
Deaths,2022-12-10,18-29,0.0,0.0,0.0,0.0,0.0,80480,212671.0,161589.0,0,0.0,0.0,18,29
Cases,2021-12-25,18-29,2798.7,1702.3,1520.3,1.6,1.8,139528,277971.0,58804.0,3905,4732.0,894.0,18,29
Deaths,2022-01-01,30-49,3.6,0.3,0.0,12.0,0.0,168393,380138.0,202387.0,6,1.0,0.0,30,49
Deaths,2022-04-02,65-79,0.0,1.9,0.0,0.0,0.0,48452,51564.0,159143.0,0,1.0,0.0,65,79
Deaths,2021-06-12,65-79,13.3,0.0,0.0,0.0,0.0,75414,181840.0,0.0,10,0.0,0.0,65,79
Deaths,2022-06-04,80+,7.5,7.9,4.4,0.9,1.7,26586,12627.0,45272.0,2,1.0,2.0,80,200
Deaths,2022-03-26,80+,0.0,14.2,0.0,0.0,0.0,27071,14053.0,43109.0,0,2.0,0.0,80,200
Deaths,2021-06-19,50-64,7.0,0.0,0.0,0.0,0.0,114456,287354.0,0.0,8,0.0,0.0,50,64
Cases,2022-06-25,65-79,223.3,157.1,177.8,1.4,1.3,46578,46462.0,167052.0,104,73.0,297.0,65,79
Hospitalizations,2022-01-01,30-49,102.1,27.4,8.4,3.7,12.2,168393,380138.0,202387.0,172,104.0,17.0,30,49
Deaths,2023-09-30,18-29,0.0,0.0,0.0,0.0,0.0,72503,214130.0,161728.0,0,0.0,0.0,18,29
Deaths,2023-07-22,18-29,0.0,0.0,0.0,0.0,0.0,73902,214135.0,161709.0,0,0.0,0.0,18,29
Hospitalizations,2022-06-04,18-29,11.6,3.7,2.0,3.1,5.8,94995,215928.0,153584.0,11,8.0,3.0,18,29
Cases,2022-04-23,30-49,162.2,104.2,301.1,1.6,0.5,131359,287869.0,329404.0,213,300.0,992.0,30,49
Hospitalizations,2021-11-13,50-64,44.7,4.2,0.0,10.6,0.0,69301,308448.0,36865.0,31,13.0,0.0,50,64
Hospitalizations,2021-09-18,All,15.8,3.2,0.0,4.9,0.0,1033219,1487228.0,0.0,163,47.0,0.0,999,999
Deaths,2021-12-11,18-29,0.7,0.0,0.0,0.0,0.0,147702,295416.0,37772.0,1,0.0,0.0,18,29
Deaths,2023-10-21,50-64,0.0,0.0,0.0,0.0,0.0,31095,125782.0,247254.0,0,0.0,0.0,50,64
Cases,2022-09-03,80+,148.8,209.3,230.2,0.7,0.6,26205,11466.0,46907.0,39,24.0,108.0,80,200
Deaths,2021-07-10,All,0.7,0.0,0.0,0.0,0.0,1194853,1348222.0,0.0,8,0.0,0.0,999,999
Hospitalizations,2021-07-24,50-64,17.6,1.0,0.0,17.6,0.0,102426,311064.0,0.0,18,3.0,0.0,50,64
Hospitalizations,2023-09-09,65-79,28.1,13.8,18.6,2.0,1.5,39140,43415.0,171755.0,11,6.0,32.0,65,79
Deaths,2023-06-10,65-79,0.0,0.0,1.2,0.0,0.0,39441,43434.0,171732.0,0,0.0,2.0,65,79
Cases,2021-11-13,18-29,246.0,102.9,27.9,2.4,8.8,160183,311808.0,14313.0,394,321.0,4.0,18,29
Hospitalizations,2022-02-05,50-64,36.9,7.6,9.4,4.9,3.9,48776,157818.0,201587.0,18,12.0,19.0,50,64
Deaths,2022-11-19,18-29,0.0,0.0,0.0,0.0,0.0,82036,212422.0,161555.0,0,0.0,0.0,18,29
Hospitalizations,2021-09-11,All,16.3,3.8,0.0,4.3,0.0,1046939,1475716.0,0.0,171,56.0,0.0,999,999
Hospitalizations,2021-12-18,30-49,53.8,8.4,3.4,6.4,15.8,176574,429933.0,147317.0,95,36.0,5.0,30,49
Hospitalizations,2021-05-15,50-64,44.6,2.7,0.0,16.5,0.0,139168,218624.0,0.0,62,6.0,0.0,50,64
Deaths,2021-06-19,65-79,2.7,1.1,0.0,2.5,0.0,74281,183897.0,0.0,2,2.0,0.0,65,79
Cases,2023-08-12,All,39.5,16.7,32.1,2.4,1.2,528906,860313.0,1040782.0,209,144.0,334.0,999,999
Deaths,2022-09-03,65-79,4.4,0.0,0.0,0.0,0.0,45582,43748.0,170866.0,2,0.0,0.0,65,79
Deaths,2022-10-08,30-49,0.0,0.4,0.3,0.0,0.0,121106,276136.0,346953.0,0,1.0,1.0,30,49
Deaths,2021-06-12,All,2.1,0.2,0.0,10.5,0.0,1257017,1201445.0,0.0,27,2.0,0.0,999,999
Cases,2023-08-05,All,28.9,13.1,25.2,2.2,1.1,529533,860315.0,1040778.0,153,113.0,262.0,999,999
Cases,2022-07-30,80+,152.0,219.2,252.3,0.7,0.6,26322,11862.0,46378.0,40,26.0,117.0,80,200
Cases,2023-11-11,65-79,77.1,58.9,67.3,1.3,1.1,37622,44141.0,172402.0,29,26.0,116.0,65,79
Cases,2023-03-11,65-79,97.5,94.4,95.5,1.0,1.0,40003,43418.0,171704.0,39,41.0,164.0,65,79
Cases,2023-11-04,30-49,58.0,21.5,21.8,2.7,2.7,101766,279203.0,348427.0,59,60.0,76.0,30,49
Deaths,2023-03-04,65-79,0.0,0.0,2.9,0.0,0.0,40040,43409.0,171702.0,0,0.0,5.0,65,79
Hospitalizations,2022-05-28,80+,48.8,70.5,44.4,0.7,1.1,26624,12774.0,45035.0,13,9.0,20.0,80,200
Cases,2021-11-13,50-64,274.2,87.9,24.4,3.1,11.2,69301,308448.0,36865.0,190,271.0,9.0,50,64
