outcome,week_end,age_group,unvaccinated_rate,vaccinated_rate,boosted_rate,crude_vaccinated_ratio,crude_boosted_ratio,population_unvaccinated,population_vaccinated,population_boosted,outcome_unvaccinated,outcome_vaccinated,outcome_boosted,age_group_min,age_group_max
Hospitalizations,2023-10-07,30-49,1.9,2.2,0.3,0.9,6.3,104936,278564.0,347458.0,2,6.0,1.0,30,49
Hospitalizations,2021-12-11,30-49,46.4,5.7,1.6,8.1,29.0,181110,452975.0,121631.0,84,26.0,2.0,30,49
Deaths,2023-06-10,All,0.2,0.0,0.2,0.0,1.0,534086,860351.0,1040691.0,1,0.0,2.0,999,999
Cases,2021-08-28,All,212.3,79.6,0.0,2.7,0.0,1076102,1450111.0,0.0,2285,1155.0,0.0,999,999
Hospitalizations,2022-10-01,80+,34.8,70.3,61.6,0.5,0.6,25857,11380.0,47042.0,9,8.0,29.0,80,200
Deaths,2021-04-24,50-64,8.3,0.7,0.0,11.9,0.0,168402,134446.0,0.0,14,1.0,0.0,50,64
Deaths,2021-07-03,65-79,4.1,0.0,0.0,0.0,0.0,72516,187809.0,0.0,3,0.0,0.0,65,79
Deaths,2021-10-16,All,2.0,0.3,0.0,6.7,0.0,987934,1507974.0,0.0,20,4.0,0.0,999,999
Cases,2023-09-30,80+,45.1,87.9,101.8,0.5,0.4,24398,11382.0,47134.0,11,10.0,48.0,80,200
Deaths,2023-11-04,50-64,0.0,0.0,0.0,0.0,0.0,30620,125775.0,247617.0,0,0.0,0.0,50,64
Hospitalizations,2021-06-12,All,5.9,0.8,0.0,7.4,0.0,1257017,1201445.0,0.0,74,10.0,0.0,999,999
Cases,2021-10-16,All,125.4,50.5,0.0,2.5,0.0,987934,1507974.0,0.0,1239,761.0,0.0,999,999
Deaths,2022-11-26,80+,8.0,0.0,2.1,0.0,3.8,25033,11373.0,47096.0,2,0.0,1.0,80,200
Cases,2023-10-07,18-29,41.7,11.7,16.7,3.6,2.5,71968,214276.0,161803.0,30,25.0,27.0,18,29
Hospitalizations,2022-08-13,50-64,41.8,15.8,10.2,2.6,4.1,40677,126700.0,244360.0,17,20.0,25.0,50,64
Deaths,2023-04-29,65-79,0.0,0.0,0.0,0.0,0.0,39684,43437.0,171725.0,0,0.0,0.0,65,79
Hospitalizations,2021-08-07,18-29,8.3,1.4,0.0,5.9,0.0,206013,282729.0,0.0,17,4.0,0.0,18,29
Hospitalizations,2022-01-29,50-64,86.5,15.7,10.9,5.5,7.9,49696,165132.0,193153.0,43,26.0,21.0,50,64
Cases,2021-05-08,80+,107.5,13.6,0.0,7.9,0.0,36289,44240.0,0.0,39,6.0,0.0,80,200
Hospitalizations,2022-03-12,18-29,1.0,0.5,0.7,2.0,1.4,100487,221043.0,142046.0,1,1.0,1.0,18,29
Deaths,2023-06-17,18-29,0.0,0.0,0.0,0.0,0.0,74493,214135.0,161700.0,0,0.0,0.0,18,29
Cases,2021-06-12,18-29,38.0,3.8,0.0,10.0,0.0,236542,236566.0,0.0,90,9.0,0.0,18,29
Hospitalizations,2021-05-01,50-64,61.8,2.4,0.0,25.8,0.0,155412,166702.0,0.0,96,4.0,0.0,50,64
Cases,2022-05-21,80+,142.4,186.1,276.6,0.8,0.5,26685,12893.0,44830.0,38,24.0,124.0,80,200
Hospitalizations,2022-08-27,18-29,12.1,1.9,1.9,6.4,6.4,91147,211921.0,160373.0,11,4.0,3.0,18,29
Cases,2023-10-07,All,34.5,15.3,31.5,2.3,1.1,522040,860669.0,1041205.0,180,132.0,328.0,999,999
